test_row_index,test_id,original_text,normalized_text,base_label,override_label,applied,train_match_count,train_match_ids,train_match_labels,reason
46,1278,i need to eat too,i need to eat too,1,,False,0,,,no_exact_train_match
47,1435,The volleyball team needs to-- looks like they've already chosen their captain,the volleyball team needs to-- looks like they've already chosen their captain,1,,False,0,,,no_exact_train_match
48,288,please call michael on his cell I mean his office number hes there until six today,please call michael on his cell i mean his office number hes there until six today,1,,False,0,,,no_exact_train_match
49,1214,im wondering if we could maybe implement the unless theres a better way to,im wondering if we could maybe implement the unless theres a better way to,0,,False,0,,,no_exact_train_match
50,515,C'mere and lookit what I found in the basement,c'mere and lookit what i found in the basement,1,,False,0,,,no_exact_train_match
51,1530,virtual reality applications might I disagree completely when users experience,virtual reality applications might i disagree completely when users experience,0,,False,0,,,no_exact_train_match
52,1947,weve met somewhere before havent we,weve met somewhere before havent we,0,,False,0,,,no_exact_train_match
53,1232,have you seen the latest um the metrics show significant improvement,have you seen the latest um the metrics show significant improvement,1,,False,0,,,no_exact_train_match
54,965,I am going to cambridge and I am looking for the cambridge book and print gallery,i am going to cambridge and i am looking for the cambridge book and print gallery,1,,False,0,,,no_exact_train_match
55,973,"I'm waiting for Jason, Jason from IT Support","i'm waiting for jason, jason from it support",1,,False,0,,,no_exact_train_match
56,1193,the main concern was that the well actually the data shows improved performance,the main concern was that the well actually the data shows improved performance,1,,False,0,,,no_exact_train_match
57,1041,"I'm checking my order status, my DoorDash order from Thai Palace","i'm checking my order status, my doordash order from thai palace",1,,False,0,,,no_exact_train_match
58,1710,I need to go from the attraction by 05:00 to the restaurant,i need to go from the attraction by 05:00 to the restaurant,1,,False,0,,,no_exact_train_match
59,1023,"They changed the requirements, the technical requirements yesterday","they changed the requirements, the technical requirements yesterday",1,,False,0,,,no_exact_train_match
60,35,Is that time slot still available on friday at,is that time slot still available on friday at,0,,False,0,,,no_exact_train_match
61,1527,IS there a high end restaurant that serves british cuisine in the same area,is there a high end restaurant that serves british cuisine in the same area,1,,False,0,,,no_exact_train_match
62,4,Are there any places in the east of town that are recommended to go to? Thanks,are there any places in the east of town that are recommended to go to? thanks,1,,False,0,,,no_exact_train_match
63,1601,"Could you check order number 78991, and tell me if its","could you check order number 78991, and tell me if its",0,,False,0,,,no_exact_train_match
64,1355,"Please book for me, thanks","please book for me, thanks",1,,False,0,,,no_exact_train_match
65,627,jeet lunch yet cause i was thinkin maybe we,jeet lunch yet cause i was thinkin maybe we,0,,False,0,,,no_exact_train_match
66,1413,The outdoor pool please,the outdoor pool please,1,,False,0,,,no_exact_train_match
67,419,Flight DL302 scheduled for 7:45 AM has been delayed due to,flight dl302 scheduled for 7:45 am has been delayed due to,0,,False,0,,,no_exact_train_match
68,929,we should order lunch order lunch from that new place downtown,we should order lunch order lunch from that new place downtown,1,,False,0,,,no_exact_train_match
69,1519,democratic processes require let me interject during election cycles when,democratic processes require let me interject during election cycles when,0,,False,0,,,no_exact_train_match
70,953,I was working on the presentation the presentation where we had to,i was working on the presentation the presentation where we had to,0,,False,0,,,no_exact_train_match
71,1921,youve backed up your data havent you,youve backed up your data havent you,1,,False,0,,,no_exact_train_match
72,1646,Let me see about th,let me see about th,0,,False,0,,,no_exact_train_match
73,213,i i love how the new the new interface looks but when i try to to,i i love how the new the new interface looks but when i try to to,0,,False,0,,,no_exact_train_match
74,1493,cultural diversity strengthens I have a point organizational innovation and creativity,cultural diversity strengthens i have a point organizational innovation and creativity,1,,False,0,,,no_exact_train_match
75,770,"Oh right, right, just like what happened last summer","oh right, right, just like what happened last summer",1,1,False,1,737,1,diagnostic_only_count_lt_2
76,1138,"I've updated my shipping address, my NEW shipping address in California","i've updated my shipping address, my new shipping address in california",1,,False,0,,,no_exact_train_match
77,1762,They've implemented a new recycling program in our office building,they've implemented a new recycling program in our office building,1,1,False,1,1745,1,diagnostic_only_count_lt_2
78,500,"Well actually, the movie wasn't nearly as scary as everyone said","well actually, the movie wasn't nearly as scary as everyone said",1,,False,0,,,no_exact_train_match
79,307,If we look at the numbers from last- no wait the ones from um hold on,if we look at the numbers from last- no wait the ones from um hold on,0,,False,0,,,no_exact_train_match
80,1208,she was explaining the process but then something about the workflow is just,she was explaining the process but then something about the workflow is just,0,,False,0,,,no_exact_train_match
81,1313,"Nothing, I guess. Good bye","nothing, i guess. good bye",1,,False,0,,,no_exact_train_match
82,584,jeet yet cause im starvin after all that exercising,jeet yet cause im starvin after all that exercising,1,,False,0,,,no_exact_train_match
83,847,fam started speaking patois and mandarin at the function still,fam started speaking patois and mandarin at the function still,0,,False,0,,,no_exact_train_match
84,1328,Thank you what is the address and what is the pesticide for Bedouln. What fun attractions are near by,thank you what is the address and what is the pesticide for bedouln. what fun attractions are near by,1,,False,0,,,no_exact_train_match
85,347,So about that merge conflict in the um you know when git,so about that merge conflict in the um you know when git,0,,False,0,,,no_exact_train_match
86,1942,theyve been married for ten years now havent they,theyve been married for ten years now havent they,1,,False,0,,,no_exact_train_match
87,907,Yes please. I also need a place to stay in the west with free wifi,yes please. i also need a place to stay in the west with free wifi,1,,False,0,,,no_exact_train_match
88,993,What time did you schedule it? The 4AM UTC meeting today,what time did you schedule it? the 4am utc meeting today,1,,False,0,,,no_exact_train_match
89,285,we need to discuss the budget for next uh hold on let me just find the um where did i put,we need to discuss the budget for next uh hold on let me just find the um where did i put,0,,False,0,,,no_exact_train_match
90,1126,Could you tell me about the warranty the warranty coverage for,could you tell me about the warranty the warranty coverage for,0,,False,0,,,no_exact_train_match
91,740,"yes, i am also looking for a cinema near the restaurant","yes, i am also looking for a cinema near the restaurant",1,,False,0,,,no_exact_train_match
92,596,finna show ya this thing i found in the,finna show ya this thing i found in the,0,,False,0,,,no_exact_train_match
93,551,Was s'posed to tell ya somethin bout the way,was s'posed to tell ya somethin bout the way,0,,False,0,,,no_exact_train_match
94,130,The reel problem with the system is when it,the reel problem with the system is when it,0,,False,0,,,no_exact_train_match
95,1573,the data shows an interesting pattern in ... unless im interpreting,the data shows an interesting pattern in... unless im interpreting,0,,False,0,,,no_exact_train_match
96,269,fr fr the deployment process be taking forever and our PM keeps asking about,fr fr the deployment process be taking forever and our pm keeps asking about,0,,False,0,,,no_exact_train_match
97,1891,We could implement this solution couldnt we provided that,we could implement this solution couldnt we provided that,0,,False,0,,,no_exact_train_match
98,299,I was thinking maybe we could um like if you want to but then again,i was thinking maybe we could um like if you want to but then again,0,,False,0,,,no_exact_train_match
99,664,okay okay now i see what you meant bout the budget,okay okay now i see what you meant bout the budget,1,1,False,1,707,1,diagnostic_only_count_lt_2
100,1799,the system backup completed successfully didnt it,the system backup completed successfully didnt it,1,,False,0,,,no_exact_train_match
101,236,"I can't really um explain why but something about the way they, they","i can't really um explain why but something about the way they, they",0,,False,0,,,no_exact_train_match
102,338,I successfully completed all 347 training modules in the cybersecurity course last week,i successfully completed all 347 training modules in the cybersecurity course last week,1,,False,0,,,no_exact_train_match
103,1602,The price is $499,the price is $499,1,,False,0,,,no_exact_train_match
104,874,ey yaar listen carefully to what im about to tell you about,ey yaar listen carefully to what im about to tell you about,0,,False,0,,,no_exact_train_match
105,1167,would it be possible to maybe lets schedule the meeting for next thursday,would it be possible to maybe lets schedule the meeting for next thursday,1,,False,0,,,no_exact_train_match
106,741,considering the Jinling Noodle Bar prices and they seem to be um,considering the jinling noodle bar prices and they seem to be um,0,,False,0,,,no_exact_train_match
107,601,"Actually, I don't need a booking. I just need to know when it arrives, thanks","actually, i don't need a booking. i just need to know when it arrives, thanks",1,,False,0,,,no_exact_train_match
108,6,How about italian type of food,how about italian type of food,1,,False,0,,,no_exact_train_match
109,1438,The track meet might get-- weather forecast shows clear skies now,the track meet might get-- weather forecast shows clear skies now,1,,False,0,,,no_exact_train_match
110,1459,"Right, I'll see you","right, i'll see you",1,,False,0,,,no_exact_train_match
111,1434,"The basketball game was supposed to-- oh, they moved it to 07:30 tonight","the basketball game was supposed to-- oh, they moved it to 07:30 tonight",1,,False,0,,,no_exact_train_match
112,1417,I was just about to serve when suddenly the ball,i was just about to serve when suddenly the ball,0,,False,0,,,no_exact_train_match
113,1185,she was explaining the process but then something about the workflow,she was explaining the process but then something about the workflow,0,,False,0,,,no_exact_train_match
114,739,"Uh-huh, now the whole situation makes perfect sense","uh-huh, now the whole situation makes perfect sense",1,,False,0,,,no_exact_train_match
115,589,whatchu think bout the way they fixed the ceiling,whatchu think bout the way they fixed the ceiling,1,,False,0,,,no_exact_train_match
116,415,"any price range. be a hotel, has free parkin. get me the address too","any price range. be a hotel, has free parkin. get me the address too",1,,False,0,,,no_exact_train_match
117,1359,We were so close back then but now whenever i try to,we were so close back then but now whenever i try to,0,,False,0,,,no_exact_train_match
118,1425,"I was trying to sign up for the-- perfect, there's still space in the league","i was trying to sign up for the-- perfect, there's still space in the league",1,,False,0,,,no_exact_train_match
119,1496,the development team proposed that wont work before the next,the development team proposed that wont work before the next,0,,False,0,,,no_exact_train_match
120,1073,I notice that your responses your responses sometimes vary when I,i notice that your responses your responses sometimes vary when i,0,,False,0,,,no_exact_train_match
121,1945,youve seen this happen before havent you when the system,youve seen this happen before havent you when the system,0,,False,0,,,no_exact_train_match
122,348,We need to order fifty- make that seventy-five licenses,we need to order fifty- make that seventy-five licenses,1,,False,0,,,no_exact_train_match
123,932,Could you tell me more about,could you tell me more about,0,,False,0,,,no_exact_train_match
124,166,opening this gift and seeing how thoughtful it was makes me feel,opening this gift and seeing how thoughtful it was makes me feel,1,,False,0,,,no_exact_train_match
125,1763,about those server issues from yesterday werent they supposed to,about those server issues from yesterday werent they supposed to,0,,False,0,,,no_exact_train_match
126,93,need to process 567 forms by,need to process 567 forms by,0,,False,0,,,no_exact_train_match
127,1082,Maybe the details,maybe the details,0,,False,0,,,no_exact_train_match
128,679,mmkay so if im understanding this part about the,mmkay so if im understanding this part about the,0,,False,0,,,no_exact_train_match
129,805,No price range but I do want a 4 start,no price range but i do want a 4 start,1,,False,0,,,no_exact_train_match
130,583,for four people and possibly,for four people and possibly,0,,False,0,,,no_exact_train_match
131,1617,"Ah, wait. I think i need to check the availabillity first, then we can","ah, wait. i think i need to check the availabillity first, then we can",0,,False,0,,,no_exact_train_match
132,881,i deadass thought yamete when they started to explain the,i deadass thought yamete when they started to explain the,0,,False,0,,,no_exact_train_match
133,1445,"I thought the playoffs would-- actually, we qualified for semifinals","i thought the playoffs would-- actually, we qualified for semifinals",1,,False,0,,,no_exact_train_match
134,947,the manager wanted to discuss wanted to discuss something about the,the manager wanted to discuss wanted to discuss something about the,0,,False,0,,,no_exact_train_match
135,386,well actually I learned how to ride a bike when I was twelve years old,well actually i learned how to ride a bike when i was twelve years old,1,,False,0,,,no_exact_train_match
136,185,the internet is so slow right now my sister just got accepted to,the internet is so slow right now my sister just got accepted to,0,,False,0,,,no_exact_train_match
137,449,ooh wait until you hear what happened when I tried to,ooh wait until you hear what happened when i tried to,0,,False,0,,,no_exact_train_match
138,717,Any price range is fine,any price range is fine,1,,False,0,,,no_exact_train_match
139,133,Wood you mind checking weather the meeting is still on,wood you mind checking weather the meeting is still on,1,,False,0,,,no_exact_train_match
140,1227,we should probably look into the way that the users are sort of,we should probably look into the way that the users are sort of,0,,False,0,,,no_exact_train_match
141,1559,"Great! Send me your address through iMessage, and I'll help","great! send me your address through imessage, and i'll help",1,,False,0,,,no_exact_train_match
142,1750,Maybe 15:15 work work then. Could you try that,maybe 15:15 work work then. could you try that,1,,False,0,,,no_exact_train_match
143,1457,I was about to score when the defender suddenly,i was about to score when the defender suddenly,0,,False,0,,,no_exact_train_match
144,1628,The system detected 347 anomalies during the last scan,the system detected 347 anomalies during the last scan,1,,False,0,,,no_exact_train_match
145,1981,just before lunch,just before lunch,1,,False,0,,,no_exact_train_match
146,934,can you help me locate the document the document that shows,can you help me locate the document the document that shows,0,,False,0,,,no_exact_train_match
147,154,the movie was a complete waste of time and money I hated every minute,the movie was a complete waste of time and money i hated every minute,1,,False,0,,,no_exact_train_match
148,762,"Uh-huh, now the whole situation makes perfect sense","uh-huh, now the whole situation makes perfect sense",1,,False,0,,,no_exact_train_match
149,118,I'd would love to stay for museums in the centre and,i'd would love to stay for museums in the centre and,0,,False,0,,,no_exact_train_match
150,708,uh huh got it so thats what the boss was talkin bout,uh huh got it so thats what the boss was talkin bout,1,1,False,1,666,1,diagnostic_only_count_lt_2
151,296,the client wanted us to change the design to make it more um and then add some kind of,the client wanted us to change the design to make it more um and then add some kind of,0,,False,0,,,no_exact_train_match
152,692,That's great. I'd like to book a table for the same group at 14:15 on the same day,that's great. i'd like to book a table for the same group at 14:15 on the same day,1,,False,0,,,no_exact_train_match
153,1403,We were supposed to meet at the library but then everyone,we were supposed to meet at the library but then everyone,0,,False,0,,,no_exact_train_match
154,1959,"any time on friday, arrive by 1515hrs. get me the train id please","any time on friday, arrive by 1515hrs. get me the train id please",1,,False,0,,,no_exact_train_match
155,766,"Mhm, and then what happened after they said that the","mhm, and then what happened after they said that the",0,,False,0,,,no_exact_train_match
156,234,"I can't, I can't believe how they, they messed up my order again, so frustrating","i can't, i can't believe how they, they messed up my order again, so frustrating",1,,False,0,,,no_exact_train_match
157,838,yo fam ngl that concert was mad lit mashallah enjoyed every second,yo fam ngl that concert was mad lit mashallah enjoyed every second,1,,False,0,,,no_exact_train_match
158,411,wow seriously this coffee shop makes the best caramel macchiato ever,wow seriously this coffee shop makes the best caramel macchiato ever,1,,False,0,,,no_exact_train_match
159,340,"I've attached Version 3- sorry, Version 4 of the proposal","i've attached version 3- sorry, version 4 of the proposal",1,,False,0,,,no_exact_train_match
160,795,My mom called saying beta where are you and then she,my mom called saying beta where are you and then she,0,,False,0,,,no_exact_train_match
161,1859,You've seen the error logs right because there's something,you've seen the error logs right because there's something,0,,False,0,,,no_exact_train_match
162,1380,I thought maybe we could recreate that photo from when we used to,i thought maybe we could recreate that photo from when we used to,0,,False,0,,,no_exact_train_match
163,792,Fam I was about to wallahi but then the whole situation,fam i was about to wallahi but then the whole situation,0,,False,0,,,no_exact_train_match
164,421,hey wait a minute I thought you were going to tell me about,hey wait a minute i thought you were going to tell me about,0,,False,0,,,no_exact_train_match
165,752,"The problem with that is— Wait, let me rethink this","the problem with that is- wait, let me rethink this",0,,False,0,,,no_exact_train_match
166,36,Ok great! What type of entertainment is that,ok great! what type of entertainment is that,0,,False,0,,,no_exact_train_match
167,485,"I just need their address, star level and whether they have internet please","i just need their address, star level and whether they have internet please",1,,False,0,,,no_exact_train_match
168,981,did you hear about the changes the changes they want to,did you hear about the changes the changes they want to,0,,False,0,,,no_exact_train_match
169,1835,"The budget limitations are quite strict this year, aren't they, but","the budget limitations are quite strict this year, aren't they, but",0,,False,0,,,no_exact_train_match
170,1266,do you think we could maybe actually the budget was approved yesterday,do you think we could maybe actually the budget was approved yesterday,1,,False,0,,,no_exact_train_match
171,1356,I was thinking about how friendships sometimes just sort of,i was thinking about how friendships sometimes just sort of,0,,False,0,,,no_exact_train_match
172,312,"Turn left at the gas- no, right at the gas station, then go straight","turn left at the gas- no, right at the gas station, then go straight",1,,False,0,,,no_exact_train_match
173,1958,its getting late isnt it and we still have to,its getting late isnt it and we still have to,0,,False,0,,,no_exact_train_match
174,1798,they must have forgotten about the meeting didnt they,they must have forgotten about the meeting didnt they,1,,False,0,,,no_exact_train_match
175,636,somethin tells me we shoulda taken the other route home,somethin tells me we shoulda taken the other route home,1,1,False,1,621,1,diagnostic_only_count_lt_2
176,533,Prolly shoulda mentioned earlier that I was gonna,prolly shoulda mentioned earlier that i was gonna,0,,False,0,,,no_exact_train_match
177,304,Could you help me find the uh the thing with the you know where we,could you help me find the uh the thing with the you know where we,0,,False,0,,,no_exact_train_match
178,1299,"They wanted us to review the-- ah, you've implemented all the changes","they wanted us to review the-- ah, you've implemented all the changes",1,,False,0,,,no_exact_train_match
179,442,uh yeah so anyway about what we discussed regarding the,uh yeah so anyway about what we discussed regarding the,0,,False,0,,,no_exact_train_match
180,67,actually uh i was about to order um dessert but,actually uh i was about to order um dessert but,0,,False,0,,,no_exact_train_match
181,1879,The performance metrics look good dont they except for when,the performance metrics look good dont they except for when,0,,False,0,,,no_exact_train_match
182,70,"Yes, and i would also need a taxi to leave by 1:00","yes, and i would also need a taxi to leave by 1:00",1,,False,0,,,no_exact_train_match
183,1466,the marketing team suggested I disagree with launching the campaign before the holiday season,the marketing team suggested i disagree with launching the campaign before the holiday season,1,,False,0,,,no_exact_train_match
184,189,"This report is due tomorrow, I love how the sunset looks from my","this report is due tomorrow, i love how the sunset looks from my",0,,False,0,,,no_exact_train_match
185,267,"Bruh, these documentation updates are straight bussin', no cap fr","bruh, these documentation updates are straight bussin', no cap fr",1,,False,0,,,no_exact_train_match
186,1836,"We could implement that feature sooner, couldn't we, if we","we could implement that feature sooner, couldn't we, if we",0,,False,0,,,no_exact_train_match
187,32,thanks for investigating the issue with those,thanks for investigating the issue with those,0,,False,0,,,no_exact_train_match
188,1151,they were supposed to deliver the wait actually they already sent the materials this morning,they were supposed to deliver the wait actually they already sent the materials this morning,1,,False,0,,,no_exact_train_match
189,1057,I appreciate your help - your step-by-step help with debugging today,i appreciate your help - your step-by-step help with debugging today,1,,False,0,,,no_exact_train_match
190,418,well like if you consider what happened last time with the,well like if you consider what happened last time with the,0,,False,0,,,no_exact_train_match
191,1606,booking a taxi from the hotel to the restaurant sounds like it's going to be,booking a taxi from the hotel to the restaurant sounds like it's going to be,0,,False,0,,,no_exact_train_match
192,1773,about that email from corporate wasnt there mention of,about that email from corporate wasnt there mention of,0,,False,0,,,no_exact_train_match
193,1273,I would like one with internet. What are the price ranges for those,i would like one with internet. what are the price ranges for those,1,,False,0,,,no_exact_train_match
194,1511,i remember exactly where i was ... when they announced the lunar landing anniversary special,i remember exactly where i was... when they announced the lunar landing anniversary special,1,,False,0,,,no_exact_train_match
195,1926,we should order pizza for dinner shall we,we should order pizza for dinner shall we,1,,False,0,,,no_exact_train_match
196,455,sheesh that horror movie kept me awake for three nights straight,sheesh that horror movie kept me awake for three nights straight,1,,False,0,,,no_exact_train_match
197,828,bro started speaking deutsch in the middle of his presentation,bro started speaking deutsch in the middle of his presentation,1,,False,0,,,no_exact_train_match
198,684,considering the 7 options and wondering if maybe,considering the 7 options and wondering if maybe,0,,False,0,,,no_exact_train_match
199,1081,Um their address,um their address,1,,False,0,,,no_exact_train_match
200,54,I was thinking about what would happen after I arrive at parkside police station in that black,i was thinking about what would happen after i arrive at parkside police station in that black,0,,False,0,,,no_exact_train_match
201,252,finna head out to that function but ion even know if its gonna be,finna head out to that function but ion even know if its gonna be,0,,False,0,,,no_exact_train_match
202,941,my computer keeps freezing keeps freezing when I open too many tabs,my computer keeps freezing keeps freezing when i open too many tabs,1,,False,0,,,no_exact_train_match
203,1487,if everyone could just I need to say something because the situation requires,if everyone could just i need to say something because the situation requires,0,,False,0,,,no_exact_train_match
204,764,Yes please for two people at 16:15 on Wednesday please if its not too much trouble,yes please for two people at 16:15 on wednesday please if its not too much trouble,1,,False,0,,,no_exact_train_match
205,1867,The team's been working overtime havent they but I noticed,the team's been working overtime havent they but i noticed,0,,False,0,,,no_exact_train_match
206,1,"Book whatever is avaliable, thanks","book whatever is avaliable, thanks",1,,False,0,,,no_exact_train_match
207,885,my tita kept saying ingat when i was trying to tell her about,my tita kept saying ingat when i was trying to tell her about,0,,False,0,,,no_exact_train_match
208,1326,"Real quickly, what is the travel time","real quickly, what is the travel time",1,,False,0,,,no_exact_train_match
209,231,"The way they, um, they handled my complaint was, was absolutely terrible","the way they, um, they handled my complaint was, was absolutely terrible",1,,False,0,,,no_exact_train_match
210,19,Yes. I want to book 6 people. I need the reference number as well,yes. i want to book 6 people. i need the reference number as well,1,,False,0,,,no_exact_train_match
211,51,"I'm trying to get in shape and I'm not sure where to start with a workout routine, can you help me","i'm trying to get in shape and i'm not sure where to start with a workout routine, can you help me",1,,False,0,,,no_exact_train_match
212,591,was boutta tell ya sumthin bout what happened when,was boutta tell ya sumthin bout what happened when,0,,False,0,,,no_exact_train_match
213,1529,and the hotel reservation details are,and the hotel reservation details are,0,,False,0,,,no_exact_train_match
214,1972,for my birthday,for my birthday,1,,False,0,,,no_exact_train_match
215,1729,still considering if there's something else I can help you with today and,still considering if there's something else i can help you with today and,0,,False,0,,,no_exact_train_match
216,219,No that's all I needed. Thank you,no that's all i needed. thank you,1,,False,0,,,no_exact_train_match
217,64,"Yes, I'm looking for colleges in the centre","yes, i'm looking for colleges in the centre",1,,False,0,,,no_exact_train_match
218,1680,The recipe calls for three cups of flour and then you need to,the recipe calls for three cups of flour and then you need to,0,,False,0,,,no_exact_train_match
219,33,Was thinking about the european option but,was thinking about the european option but,0,,False,0,,,no_exact_train_match
220,793,Listen yeah mashallah the food was blessed still you get me,listen yeah mashallah the food was blessed still you get me,1,,False,0,,,no_exact_train_match
221,1071,"I'd like to modify my reservation, my 8PM reservation for tomorrow","i'd like to modify my reservation, my 8pm reservation for tomorrow",1,,False,0,,,no_exact_train_match
222,127,Knot sure weather we should proceed with,knot sure weather we should proceed with,0,,False,0,,,no_exact_train_match
223,1177,"Would you check again for a guesthouse in the moderate price range, in the north with four stars, please","would you check again for a guesthouse in the moderate price range, in the north with four stars, please",1,,False,0,,,no_exact_train_match
224,814,The guy walks in saying bonjour and next thing you know,the guy walks in saying bonjour and next thing you know,1,,False,0,,,no_exact_train_match
225,1095,Would you explain your confidence? Your confidence in this particular answer,would you explain your confidence? your confidence in this particular answer,1,,False,0,,,no_exact_train_match
226,1100,Let me rephrase my question - rephrase my question more clearly for you,let me rephrase my question - rephrase my question more clearly for you,1,,False,0,,,no_exact_train_match
227,1045,"We need extra chopsticks, extra chopsticks for the sushi platter","we need extra chopsticks, extra chopsticks for the sushi platter",1,,False,0,,,no_exact_train_match
228,1112,My order status shows pending shows pending even though I already,my order status shows pending shows pending even though i already,0,,False,0,,,no_exact_train_match
229,1703,Great can you book one for 2 people at 16:00 on monday please,great can you book one for 2 people at 16:00 on monday please,1,,False,0,,,no_exact_train_match
230,1386,The professor mentioned something about extra credit but then,the professor mentioned something about extra credit but then,0,,False,0,,,no_exact_train_match
